2013-12-09 23:14:36 Notice: Notice (8): Undefined index: is_cancelled in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 1675]
2013-12-09 23:55:12 Notice: Notice (8): Undefined index: is_cancelled in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 1675]
2013-12-10 05:15:03 Notice: Notice (8): session_start(): ps_files_cleanup_dir: opendir(/var/lib/php/session) failed: Permission denied (13) in [/var/www/vhosts/boostbloom.com/httpdocs/vendor/facebook/php-sdk/src/facebook.php, line 59]
2013-12-10 10:16:01 Notice: Notice (8): session_start(): ps_files_cleanup_dir: opendir(/var/lib/php/session) failed: Permission denied (13) in [/var/www/vhosts/boostbloom.com/httpdocs/vendor/facebook/php-sdk/src/facebook.php, line 59]
2013-12-10 18:05:01 Notice: Notice (8): Undefined property: CronsController::$Auth in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/crons_controller.php, line 25]
2013-12-10 18:05:02 Notice: Notice (8): Undefined property: CronsController::$Auth in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/crons_controller.php, line 25]
2013-12-10 18:05:02 Notice: Notice (8): Undefined property: CronsController::$Auth in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/crons_controller.php, line 25]
2013-12-11 18:30:02 Notice: Notice (8): session_start(): ps_files_cleanup_dir: opendir(/var/lib/php/session) failed: Permission denied (13) in [/var/www/vhosts/boostbloom.com/httpdocs/vendor/facebook/php-sdk/src/facebook.php, line 59]
2013-12-12 16:28:16 Notice: Notice (8): Undefined index: end_date in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 1022]
2013-12-12 16:45:35 Notice: Notice (8): Undefined index: end_date in [/var/www/vhosts/boostbloom.com/httpdocs/app/controllers/projects_controller.php, line 1022]
2013-12-12 22:00:03 Notice: Notice (8): session_start(): ps_files_cleanup_dir: opendir(/var/lib/php/session) failed: Permission denied (13) in [/var/www/vhosts/boostbloom.com/httpdocs/vendor/facebook/php-sdk/src/facebook.php, line 59]
